Alex Poythress,79,3,6,26.2,4.2,4.8,9,3.2,2.6,5.8,1,2.2,3.2,1.3,0.4,1.7,1.8,3,4.8,0.8,0.5,0.3,0.5,2.3,10.7,11.4
Alex Scales,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Stepheson,82,3,8,9.1,1.1,2.3,3.4,1.1,2.3,3.4,0,0,0,0.5,1,1.5,2.4,1.1,3.5,0.3,0.1,0.6,0,1.5,2.8,4
Alex Stivrins,80,3,22,4.1,0.9,1.1,2,0.9,1,1.9,0,0.1,0.1,0.2,0.2,0.4,0.5,0.5,1,0.2,0.1,0.1,0.5,0.6,2,1.6
Alexander Johnson,81,3,102,12.8,1.5,1.4,2.9,1.5,1.4,2.9,0,0,0,1.3,0.7,2,0.8,1.9,2.7,0.3,0.4,0.4,0.9,2.1,4.3,5.1
Alexander Volkov,82,5,149,16.5,2.6,3.1,5.7,2.3,2.5,4.8,0.3,0.7,1,1.3,0.8,2.1,1,1.5,2.6,2.2,0.7,0.3,1,2.3,6.8,7.6
Alexey Shved,78,1,182,18,2.4,4.2,6.6,1.6,2.1,3.7,0.9,2,2.9,1.6,0.5,2.1,0.5,1.5,2,2.5,0.6,0.3,1.3,1.1,7.4,6.9
Alexis Ajinca,86,5,293,13.3,2.2,2.2,4.4,2.2,2,4.2,0,0.1,0.1,0.9,0.2,1.1,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3,7.5
Al-Farouq Aminu,81,3,520,24.1,2.7,3.6,6.3,2.1,2.4,4.5,0.6,1.2,1.8,1.3,0.5,1.8,1.4,4.3,5.7,1.2,1,0.6,1.3,1.9,7.2,10.3
Alfredrick Hughes,77,3,68,12.7,2.2,3.3,5.5,2.2,3,5.2,0,0.3,0.3,0.7,0.5,1.2,0.7,0.9,1.7,0.9,0.4,0.1,0.9,1.2,5.2,3.6
Allan Bristow,79,3,283,23.7,3.2,3.8,7,3.2,3.6,6.8,0.1,0.1,0.2,1.8,0.4,2.2,1.5,3.3,4.7,4.4,0.8,0.1,1.9,2.4,8.3,12.3
Allan Houston,78,1,839,33.7,6.4,7.9,14.3,4.8,5.7,10.5,1.6,2.3,3.9,3.1,0.5,3.6,0.4,2.5,2.9,2.4,0.7,0.2,2.1,2.5,17.3,12.9
Allan Ray,74,1,47,15.1,2.1,3.4,5.5,1.1,1.9,3,1,1.5,2.5,0.9,0.3,1.2,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.8,6.2,4.5
Allen Crabbe,78,1,226,22.8,3,3.7,6.7,1.8,1.9,3.7,1.2,1.8,3,1,0.1,1.1,0.2,2.1,2.3,1.1,0.6,0.2,0.6,2,8.3,8.1
Allen Iverson,72,1,914,41.1,9.3,12.5,21.8,8.1,10,18.1,1.2,2.5,3.7,7,1.9,8.9,0.8,2.9,3.7,6.2,2.2,0.2,3.6,1.9,26.7,21
Allen Leavell,73,1,700,23.2,3.6,4.5,8.1,3.4,3.8,7.2,0.2,0.7,0.9,2.1,0.4,2.5,0.4,1.2,1.7,4.8,1.3,0.2,1.9,2.1,9.5,10.7
Alonzo Bradley,78,3,22,4.4,0.8,1.4,2.2,0.7,1.4,2.1,0,0,0,0.3,0.1,0.4,0.1,0.2,0.3,0.1,0.1,0,0.4,0.4,1.9,0.5
Alonzo Gee,78,1,417,21.8,2.4,3.1,5.5,2,2.2,4.2,0.4,1,1.4,1.4,0.4,1.8,0.9,2.3,3.3,1.1,0.9,0.2,1.1,1.9,6.6,7.4
Alonzo Mourning,82,5,838,31,6.1,5.5,11.6,6.1,5.4,11.5,0,0.1,0.1,4.8,2.2,7,2.6,5.9,8.5,1.1,0.5,2.8,2.6,3.4,17.1,19.7
Alphonso Ford,73,1,11,10.4,1.5,3.2,4.7,1.4,2.4,3.8,0.1,0.8,0.9,0.2,0.2,0.4,0.7,1.1,1.8,0.9,0.3,0,0.8,0.6,3.2,2
Alton Ford,81,3,73,7.2,1,0.9,1.9,1,0.9,1.9,0,0,0,0.6,0.3,0.9,0.5,1.2,1.7,0.2,0.1,0.1,0.5,1.6,2.5,2.9
Alton Lister,84,5,953,19.9,2.6,2.5,5.1,2.6,2.5,5.1,0,0,0,1.3,0.9,2.2,1.9,4.4,6.3,1,0.4,1.5,1.5,3.3,6.6,10.9
Alvan Adams,81,5,689,26.1,5.2,5,10.2,5.2,5,10.2,0,0,0,2.2,0.5,2.7,1.8,4.4,6.2,3.9,1.3,0.7,2.4,3.2,12.5,16.7
Alvin Heggs,80,3,4,3.5,0.8,0.5,1.3,0.8,0.5,1.3,0,0,0,0.5,0.3,0.8,0.3,0.3,0.5,0,0,0,0,0,2,1.7
Alvin Jones,83,5,23,5.5,0.3,0.6,0.9,0.3,0.6,0.9,0,0,0,0.4,0.5,0.9,0.6,1,1.6,0.1,0.1,0.4,0.5,1.5,1.1,1.7
Alvin Robertson,75,1,779,31.7,5.7,6.2,11.9,5.4,5.4,10.8,0.3,0.7,1,2.3,0.8,3.1,2.1,3.1,5.2,5,2.7,0.4,2.7,3.4,14,17.7
Alvin Scott,79,3,465,16.3,1.7,1.9,3.6,1.7,1.9,3.6,0,0,0,1.1,0.3,1.4,0.9,1.8,2.7,1.4,0.6,0.6,0.9,1.6,4.4,6.6
Alvin Sims,76,1,4,6.3,1,1.5,2.5,0.8,1.5,2.3,0.3,0,0.3,0.5,0.8,1.3,0.8,0.3,1,1.3,0.5,0,1.5,0.5,2.8,1.8
Alvin Williams,77,1,460,27.4,3.6,5,8.6,3.2,3.9,7.1,0.5,0.9,1.4,1.4,0.4,1.8,0.5,1.9,2.5,4.1,1.2,0.2,1.4,2,9,10.4
Amal McCaskill,83,3,114,8.5,0.7,1.2,1.9,0.7,1.2,1.9,0,0,0,0.4,0.2,0.6,0.7,1.2,1.9,0.3,0.2,0.3,0.5,1.2,1.8,2.6
Amar'e Stoudemire,82,3,846,31,7,6,13,7,5.9,12.9,0,0.2,0.2,4.9,1.5,6.4,2.4,5.4,7.8,1.2,0.8,1.2,2.3,3.2,18.9,20
Amir Johnson,81,3,745,22.3,3.1,2.4,5.5,3,2.1,5.1,0.1,0.2,0.3,1.1,0.5,1.6,2.1,3.6,5.7,1.2,0.6,1,1.1,3.1,7.5,12.1
Anderson Varejao,82,3,627,24,2.9,2.7,5.6,2.9,2.7,5.6,0,0.1,0.1,1.5,0.9,2.4,2.4,4.8,7.2,1.2,0.9,0.6,0.9,2.6,7.3,12.6
Andrae Patterson,81,3,40,7.6,1.2,1.3,2.5,1.2,1.2,2.4,0,0.1,0.1,0.7,0.2,0.9,0.8,0.9,1.7,0.4,0.5,0.2,0.6,1.7,3,3.7
Andray Blatche,83,3,564,22.1,4.1,4.7,8.8,4,4.4,8.4,0.1,0.3,0.4,1.8,0.6,2.4,1.8,3.5,5.4,1.4,0.9,0.8,1.6,2.5,10.1,11.7
Andre Barrett,70,1,67,12.2,1.3,2.3,3.6,1.1,1.5,2.6,0.3,0.7,1,0.4,0.1,0.5,0.3,0.7,1.1,2,0.4,0,0.7,1,3.3,3.8
